superplasticizer,age,strength,w_c_ratio,w_b_ratio,cement_aggregate_ratio
6.47,3.0,23.07676172,0.95,0.41,0.1
7.56,28.0,27.77209328,0.93,0.49,0.1
14.17,100.0,60.9496784,0.58,0.42,0.13
0.0,28.0,25.17966352,0.63,0.63,0.16
6.47,14.0,33.00521612,0.95,0.41,0.1
0.0,28.0,17.54026944,0.78,0.78,0.12
10.37,14.0,25.3727168,0.75,0.51,0.11
11.61,3.0,34.77027468,0.41,0.31,0.22
0.0,7.0,10.3938507,1.44,0.58,0.08
11.91,28.0,55.50971276,0.64,0.35,0.12
11.91,3.0,27.42046052,0.64,0.35,0.12
10.5,28.0,31.420110796,0.75,0.55,0.19
0.0,270.0,54.378282644,0.75,0.6,0.19
5.33,14.0,24.65566176,0.77,0.55,0.14
9.5,3.0,24.0971862,0.52,0.33,0.2
0.0,28.0,24.046164976,1.11,0.66,0.1
7.84,14.0,31.35047372,0.75,0.47,0.11
0.0,28.0,22.43554904,0.66,0.66,0.15
9.6,28.0,52.446370892,0.57,0.38,0.19
0.0,28.0,52.30364936,0.43,0.43,0.22
12.8,28.0,30.84715624,0.63,0.45,0.13
11.6,91.0,79.29663476,0.45,0.3,0.21
5.46,28.0,43.73346268,0.63,0.41,0.17
10.83,28.0,31.11605188,0.94,0.47,0.09
11.2,7.0,37.99702236,0.51,0.3,0.16
15.0,28.0,15.52010476,1.22,0.55,0.09
7.0,28.0,26.14492992,1.24,0.46,0.08
3.93,56.0,61.855846854188,0.41,0.31,0.32
8.0,28.0,26.22766704,1.16,0.43,0.09
0.0,14.0,48.4012152,0.36,0.36,0.3
0.0,28.0,33.0431373,0.64,0.38,0.17
10.37,28.0,37.404073,0.75,0.51,0.11
0.0,3.0,2.331807832,1.88,0.75,0.06
10.91,3.0,25.1166257152707,0.43,0.3,0.21
0.0,3.0,15.615941924,0.58,0.58,0.19
9.0,28.0,19.98790924,1.37,0.58,0.09
11.6,28.0,71.29871316,0.45,0.3,0.21
3.0,28.0,23.73865868,1.25,0.57,0.08
11.0,28.0,40.8686899,0.54,0.39,0.23
9.0,28.0,61.23236356,0.53,0.35,0.19
14.17,56.0,55.82687172,0.58,0.42,0.13
0.0,28.0,26.84819544,0.61,0.61,0.16
0.0,90.0,31.25394708,0.69,0.69,0.15
0.0,7.0,38.60376124,0.48,0.48,0.31
18.6,91.0,66.69990824,0.36,0.28,0.24
7.0,100.0,44.298833,0.78,0.56,0.13
11.61,7.0,52.00717468,0.36,0.3,0.27
10.16,3.0,17.57474324,0.72,0.4,0.12
0.0,28.0,74.98740976,0.28,0.28,0.29
0.0,28.0,31.74347504,0.58,0.58,0.18
0.0,7.0,13.089012384,0.84,0.5,0.12
1.9,28.0,57.226508,0.3,0.27,0.27
11.0,28.0,8.536402356,1.39,0.62,0.1
0.0,7.0,19.765208492,0.68,0.41,0.16
0.0,270.0,55.064311264,0.67,0.6,0.21
8.0,28.0,25.10382116,0.57,0.57,0.17
7.9,28.0,12.180972492,1.22,0.7,0.08
9.61,56.0,53.95839176,0.72,0.4,0.12
8.71,3.0,13.54130864,0.75,0.51,0.11
0.0,180.0,32.72253096,0.58,0.58,0.2
11.91,56.0,61.99078716,0.64,0.35,0.12
4.49,28.0,21.53923024,1.06,0.54,0.09
6.65,14.0,17.83674412,0.85,0.54,0.12
9.0,28.0,69.83702404,0.3,0.3,0.3
13.0,28.0,35.85964676,0.55,0.4,0.17
11.83,14.0,41.885667,0.58,0.43,0.15
0.0,7.0,18.12632404,0.58,0.58,0.2
0.0,90.0,39.48629052,0.55,0.55,0.19
10.4,28.0,31.178794196,0.61,0.45,0.2
5.53,3.0,13.81709904,0.75,0.54,0.14
13.0,28.0,32.9569528,1.18,0.46,0.09
5.75,56.0,39.2656582,0.77,0.52,0.14
8.6,3.0,28.79941252,0.56,0.3,0.19
8.6,7.0,42.79577532,0.56,0.3,0.19
0.0,270.0,42.131120456,0.48,0.48,0.31
0.0,28.0,43.89204216,0.4,0.4,0.29
10.37,3.0,13.33446584,0.75,0.51,0.11
5.69,3.0,12.47262084,0.85,0.54,0.12
9.88,14.0,19.41564416,0.88,0.53,0.1
0.0,180.0,37.32823064,0.62,0.62,0.17
0.0,3.0,13.52062436,0.58,0.58,0.18
10.3,3.0,28.29609504,0.57,0.3,0.2
0.0,180.0,32.32952964,0.69,0.69,0.15
11.4,3.0,41.09966436,0.37,0.3,0.22
9.1,28.0,18.287661424,1.25,0.57,0.09
11.64,56.0,56.14403068,0.36,0.3,0.27
0.0,7.0,24.437787344,0.59,0.35,0.19
22.0,28.0,33.68779736,0.54,0.3,0.2
0.0,90.0,47.029847436,0.86,0.6,0.17
8.87,14.0,35.2322236,0.58,0.44,0.16
0.0,180.0,29.58541516,0.63,0.63,0.18
14.3,7.0,33.39821744,0.49,0.29,0.18
23.4,7.0,45.69846928,0.34,0.27,0.2
11.19,3.0,30.44726016,0.58,0.4,0.15
0.0,365.0,29.7853632,0.78,0.78,0.14
12.35,3.0,21.02212324,0.58,0.42,0.13
10.4,28.0,29.073134492,1.26,0.4,0.08
0.0,28.0,32.03994972,0.58,0.58,0.19
10.1,28.0,16.503987012,1.43,0.54,0.1
6.35,28.0,32.66047812,0.75,0.51,0.14
0.0,7.0,20.96696516,0.58,0.58,0.19
7.84,28.0,38.50033984,0.75,0.47,0.11
0.0,28.0,39.604880392,0.49,0.49,0.23
8.0,28.0,27.234302,1.2,0.43,0.1
0.0,7.0,11.392211948,1.11,0.66,0.1
3.93,3.0,29.5489714305414,0.41,0.31,0.32
6.3,28.0,26.859916532,1.31,0.51,0.09
0.0,28.0,31.38150014,0.68,0.41,0.16
16.5,28.0,60.2946762,0.36,0.29,0.24
8.0,28.0,24.5798194,1.29,0.39,0.1
5.53,14.0,24.91766264,0.75,0.54,0.14
0.0,365.0,38.89334116,0.58,0.58,0.19
7.56,14.0,21.60128308,0.93,0.49,0.1
4.14,28.0,33.68779736,0.91,0.44,0.09
0.0,28.0,39.28978986,0.48,0.48,0.31
7.91,14.0,32.90179472,0.98,0.4,0.09
7.48,28.0,25.72434956,0.85,0.56,0.1
0.0,28.0,32.88455782,0.81,0.49,0.14
11.33,14.0,26.04840328,0.72,0.46,0.12
14.3,3.0,25.2003478,0.49,0.29,0.18
0.0,28.0,37.813621744,0.88,0.35,0.13
8.0,28.0,36.804918356,0.57,0.42,0.19
0.0,90.0,54.598914964,0.67,0.4,0.19
6.13,3.0,13.35515012,0.85,0.56,0.13
7.0,28.0,65.90701084,0.52,0.35,0.23
4.63,28.0,24.48329276,0.85,0.56,0.13
0.0,270.0,67.11359384,0.36,0.36,0.3
11.61,3.0,35.36322404,0.36,0.3,0.27
0.0,3.0,8.204074924,0.75,0.75,0.14
5.72,56.0,32.8535314,0.72,0.33,0.09
12.8,28.0,35.865852044,0.55,0.4,0.17
0.0,28.0,17.596806472,1.0,0.6,0.1
7.91,56.0,53.46196904,0.98,0.4,0.09
8.0,28.0,46.2293658,0.57,0.31,0.2
8.92,56.0,74.3649114581204,0.4,0.29,0.27
11.64,7.0,38.01770664,0.36,0.3,0.27
11.0,28.0,31.87447548,0.7,0.52,0.18
3.93,28.0,55.55108132,0.43,0.33,0.31
13.93,28.0,46.68441996,0.41,0.31,0.22
0.0,28.0,36.447769788,0.6,0.48,0.25
9.0,28.0,33.05347944,1.27,0.38,0.1
11.6,56.0,77.29715436,0.45,0.3,0.21
11.19,56.0,66.82401392,0.58,0.4,0.15
0.0,90.0,26.94472208,0.78,0.78,0.14
4.49,100.0,33.5430074,1.06,0.54,0.09
11.99,3.0,23.52492112,0.58,0.39,0.13
0.0,7.0,19.35014394,0.81,0.49,0.15
1.72,56.0,23.245190854188,1.02,0.58,0.12
8.0,28.0,19.00885332,1.16,0.6,0.08
9.73,100.0,50.93848688,0.99,0.4,0.1
0.0,90.0,33.192064116,1.66,0.66,0.07
11.0,28.0,37.25928304,0.57,0.41,0.19
0.0,3.0,6.902344236,1.22,0.49,0.1
0.0,90.0,50.732333556,1.0,0.4,0.12
0.0,7.0,16.26473884,0.58,0.58,0.18
0.0,3.0,11.654902304,0.66,0.66,0.16
8.5,28.0,52.426376088,0.58,0.39,0.19
11.3,28.0,32.768036376,1.1,0.51,0.09
0.0,3.0,4.782205536,1.25,0.75,0.08
0.0,7.0,11.46598588,0.74,0.74,0.13
0.0,14.0,18.12632404,0.67,0.67,0.17
8.6,91.0,66.59648684,0.56,0.3,0.19
5.72,100.0,39.2311844,0.72,0.33,0.09
0.0,7.0,11.483912256,0.74,0.74,0.13
18.0,28.0,36.34917472,1.11,0.36,0.09
4.63,56.0,31.53663224,0.85,0.56,0.13
8.0,28.0,36.80422888,0.57,0.42,0.19
28.2,3.0,41.2996124,0.27,0.27,0.3
28.2,56.0,58.79851328,0.27,0.27,0.3
9.41,56.0,45.08483564,0.58,0.43,0.16
3.57,56.0,48.58737372,1.01,0.42,0.1
11.66,14.0,29.59230992,0.75,0.41,0.12
0.0,28.0,25.726417988,1.09,0.57,0.1
10.91,56.0,66.7806754305414,0.43,0.3,0.21
0.0,180.0,53.104130996,0.6,0.6,0.24
4.14,56.0,35.852752,0.91,0.44,0.09
11.2,28.0,67.69964844,0.51,0.3,0.16
0.0,7.0,11.1695112,0.8,0.8,0.12
11.61,56.0,61.06688932,0.36,0.3,0.27
0.0,28.0,17.576122192,0.78,0.78,0.12
8.87,28.0,39.94134468,0.58,0.44,0.16
3.57,3.0,20.72564856,1.01,0.42,0.1
0.0,28.0,18.746162964,0.75,0.75,0.14
0.0,7.0,7.723510152,1.88,0.75,0.06
0.0,90.0,41.680203152,0.58,0.58,0.19
7.0,28.0,30.88163004,1.26,0.38,0.1
13.0,28.0,15.08573488,1.1,0.5,0.1
2.5,28.0,79.98611076,0.3,0.3,0.31
7.79,14.0,31.81242264,1.05,0.41,0.1
11.91,14.0,35.9561734,0.64,0.35,0.12
0.0,28.0,64.0178466,0.39,0.35,0.3
12.35,28.0,33.94290348,0.58,0.42,0.13
0.0,28.0,37.42475728,0.48,0.48,0.21
0.0,7.0,9.99050724,0.82,0.82,0.13
0.0,7.0,9.617500724,1.17,0.47,0.09
10.1,28.0,38.461039708,0.54,0.4,0.18
0.0,365.0,36.14922668,0.63,0.63,0.17
16.5,91.0,65.19685056,0.36,0.29,0.24
6.47,56.0,53.77223324,0.95,0.41,0.1
28.2,28.0,56.3991368,0.27,0.27,0.3
8.0,28.0,10.53519328,1.39,0.62,0.09
0.0,7.0,15.0305768,0.96,0.58,0.12
0.0,7.0,17.54026944,0.57,0.57,0.18
22.0,3.0,40.59634688,0.37,0.25,0.23
22.0,91.0,82.5992248,0.37,0.25,0.23
11.91,100.0,63.52831864,0.64,0.35,0.12
0.0,3.0,19.199148696,0.49,0.49,0.23
5.75,3.0,17.22311048,0.75,0.51,0.14
9.0,28.0,12.45883132,1.25,0.65,0.09
12.6,28.0,15.091250688,1.1,0.5,0.1
0.0,28.0,71.98818916,0.3,0.3,0.25
8.19,28.0,31.2677366,0.94,0.49,0.1
15.9,28.0,52.20022796,0.41,0.29,0.22
9.41,14.0,34.67374804,0.58,0.43,0.16
0.0,90.0,21.859147104,0.75,0.75,0.14
14.17,28.0,50.60064364,0.58,0.42,0.13
8.9,56.0,72.29845336,0.38,0.3,0.29
0.0,90.0,54.315540328,0.4,0.4,0.29
0.0,28.0,39.321505756,1.0,0.4,0.12
8.0,28.0,46.234192132,0.57,0.31,0.2
11.1,28.0,65.99664272,0.42,0.3,0.28
9.9,100.0,58.60546,0.58,0.4,0.15
13.0,28.0,37.91428524,1.1,0.43,0.1
0.0,28.0,37.427515184,0.53,0.48,0.28
0.0,7.0,20.27748916,0.53,0.53,0.19
4.567,100.0,34.55653712,0.85,0.6,0.13
0.0,3.0,12.788400848,1.0,0.4,0.12
0.0,120.0,39.38286912,0.58,0.58,0.18
8.08,28.0,46.38794528,1.06,0.41,0.09
0.0,360.0,38.11423328,0.62,0.62,0.17
0.0,7.0,17.24379476,0.62,0.62,0.17
8.6,56.0,64.90037588,0.56,0.3,0.19
14.3,91.0,68.09954452,0.49,0.29,0.18
0.0,365.0,43.698299404,0.6,0.48,0.25
0.0,90.0,40.65839972,0.55,0.55,0.19
0.0,7.0,11.957582268,0.91,0.55,0.11
5.0,28.0,33.7153764,0.74,0.42,0.16
14.32,7.0,36.83870268,0.41,0.31,0.22
0.0,28.0,31.899986092,0.55,0.55,0.19
18.6,3.0,36.3009114,0.36,0.28,0.24
0.0,7.0,14.2032056,0.65,0.65,0.16
0.0,90.0,32.068218236,0.66,0.66,0.16
6.65,100.0,49.97322048,0.85,0.54,0.12
32.2,56.0,69.29923276,0.29,0.24,0.28
8.0,28.0,56.61287436,0.59,0.39,0.21
6.65,3.0,13.18278112,0.85,0.54,0.12
4.49,14.0,25.48303296,1.06,0.54,0.09
9.88,3.0,9.4458212,0.85,0.51,0.1
0.0,180.0,71.62276688,0.32,0.32,0.31
0.0,7.0,10.335934716,0.78,0.78,0.12
0.0,28.0,44.0919902,0.4,0.4,0.29
4.46,14.0,24.44881896,0.85,0.59,0.12
0.0,365.0,43.698299404,0.53,0.48,0.28
15.9,7.0,47.09810556,0.41,0.29,0.22
0.0,90.0,32.53292506,1.11,0.66,0.1
10.91,3.0,23.639177145812,0.43,0.3,0.21
0.0,270.0,55.15808,0.4,0.4,0.29
11.64,56.0,55.25460664,0.36,0.3,0.27
11.66,100.0,52.95865156,0.75,0.41,0.12
0.0,365.0,52.516697444,0.6,0.6,0.24
0.0,90.0,48.846616696,0.49,0.49,0.23
0.0,3.0,13.22414968,0.58,0.58,0.19
9.0,28.0,32.39847724,0.77,0.46,0.16
0.0,360.0,42.1269836,0.55,0.55,0.19
9.61,28.0,52.20022796,0.72,0.4,0.12
0.0,28.0,43.377003588,0.67,0.4,0.19
11.25,28.0,78.80021204,0.37,0.37,0.25
5.33,56.0,39.64487,0.77,0.55,0.14
7.84,3.0,19.51906556,0.75,0.47,0.11
0.0,3.0,11.36256448,0.69,0.69,0.15
0.0,28.0,17.54026944,0.78,0.78,0.12
5.75,28.0,33.27411176,0.77,0.52,0.14
0.0,28.0,49.24927068,0.95,0.48,0.11
15.9,91.0,56.49566344,0.41,0.29,0.22
0.0,90.0,40.563252032,0.6,0.48,0.25
0.0,28.0,25.216895224,0.63,0.63,0.16
0.0,3.0,4.565020596,1.88,0.75,0.06
0.0,270.0,51.732763232,0.86,0.6,0.17
6.72,56.0,42.69924868,0.75,0.49,0.13
8.3,28.0,33.399596392,0.77,0.46,0.15
5.75,100.0,43.58177796,0.75,0.51,0.14
3.4,28.0,23.744174488,1.25,0.57,0.08
9.61,100.0,56.63355864,0.72,0.4,0.12
0.0,90.0,43.25082948,0.96,0.58,0.11
0.0,28.0,20.593958644,1.88,0.75,0.06
5.0,28.0,33.71882378,0.75,0.43,0.16
0.0,7.0,23.404952296,0.58,0.58,0.19
0.0,3.0,6.883728384,1.44,0.58,0.08
0.0,90.0,69.65776028,0.32,0.32,0.31
7.48,56.0,43.38872468,0.87,0.58,0.1
15.3,28.0,44.32641204,0.57,0.37,0.21
8.5,28.0,29.870858224,1.33,0.43,0.09
0.0,28.0,31.35047372,0.48,0.48,0.22
0.0,14.0,25.62092816,0.57,0.57,0.21
7.91,3.0,15.52010476,0.98,0.4,0.09
23.4,3.0,28.99936056,0.34,0.27,0.2
6.0,28.0,53.524711356,0.68,0.37,0.19
3.93,28.0,57.915984,0.41,0.31,0.32
11.0,28.0,32.83974188,1.27,0.41,0.1
11.6,7.0,22.89749796,0.45,0.3,0.21
7.48,3.0,12.17614616,0.87,0.58,0.1
11.1,3.0,39.300132,0.42,0.3,0.28
9.0,28.0,37.171030112,0.77,0.46,0.17
0.0,7.0,10.787541496,1.11,0.66,0.1
0.0,28.0,30.439675924,0.96,0.58,0.11
0.0,28.0,28.021683592,0.97,0.58,0.11
