cement,slag,fly_ash,water,superplasticizer,coarse_agg,fine_agg,age,strength,w_c_ratio,w_b_ratio,cement_aggregate_ratio
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7.0,7.675936308,1.88,0.75,0.06
150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28.0,13.461329424,1.11,0.5,0.09
143.6,0.0,174.9,158.4,17.9,942.7,844.5,28.0,15.42357812,1.1,0.5,0.08
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.89581932,0.45,0.3,0.21
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.908319812,0.86,0.6,0.17
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90.0,37.231704,0.58,0.58,0.18
255.0,0.0,0.0,192.0,0.0,889.8,945.0,7.0,10.222171176,0.75,0.75,0.14
233.81,0.0,94.58,197.89,4.567,947.04,852.16,56.0,27.66177712,0.85,0.6,0.13
387.0,20.0,94.0,157.0,11.61,938.0,845.0,7.0,41.66503468,0.41,0.31,0.22
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28.0,81.75116932,0.46,0.32,0.17
190.68,0.0,125.4,162.14,7.77,1090.0,804.01,3.0,15.04436632,0.85,0.51,0.1
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180.0,34.48758952,0.63,0.63,0.17
298.0,137.0,107.0,201.0,6.0,878.0,655.0,28.0,53.52402188,0.67,0.37,0.19
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28.0,23.8903434,1.11,0.34,0.11
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90.0,31.023662096,1.66,0.66,0.06
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,56.0,31.715896,0.88,0.53,0.1
140.0,133.0,103.0,200.0,7.0,916.0,753.0,28.0,36.4388066,1.43,0.53,0.08
190.34,0.0,125.18,166.61,9.88,1079.0,798.9,28.0,24.84871504,0.88,0.53,0.1
212.0,141.3,0.0,203.5,0.0,973.4,750.0,90.0,39.70002808,0.96,0.58,0.12
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3.0,7.31534036,0.94,0.49,0.1
287.0,121.0,94.0,188.0,9.0,904.0,696.0,28.0,41.94082508,0.66,0.37,0.18
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,90.0,58.78472376,0.36,0.36,0.3
146.0,230.0,0.0,202.0,3.0,827.0,872.0,28.0,33.0603742,1.38,0.54,0.09
446.0,24.0,79.0,162.0,11.64,967.0,712.0,3.0,23.34565736,0.36,0.3,0.27
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28.0,23.84897484,0.5,0.5,0.28
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28.0,39.0932892,0.47,0.47,0.22
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28.0,25.74503384,0.84,0.5,0.12
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28.0,33.306517132,1.36,0.36,0.08
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7.0,10.730314988,1.09,0.57,0.1
376.0,0.0,0.0,214.6,0.0,1003.5,762.36,56.0,36.3009114,0.57,0.57,0.21
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7.0,59.09498796,0.37,0.25,0.23
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7.0,17.200357772,0.96,0.38,0.11
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28.0,17.959470848,1.07,0.56,0.08
153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28.0,25.55887532,1.16,0.43,0.09
139.9,132.6,103.3,200.3,7.4,916.0,753.4,28.0,36.443632932,1.43,0.53,0.08
212.52,0.0,100.37,159.32,8.71,1007.8,903.59,28.0,31.64005364,0.75,0.51,0.11
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,21.26343984,0.69,0.69,0.15
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.80085148,0.57,0.3,0.2
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28.0,33.01900564,0.69,0.48,0.22
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1.0,12.63809508,0.4,0.4,0.29
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,28.0,45.93978588,0.72,0.4,0.12
122.6,183.9,0.0,203.5,0.0,958.2,800.1,7.0,10.354550568,1.66,0.66,0.07
275.0,180.0,120.0,162.0,10.35,830.0,765.0,28.0,76.23536132,0.59,0.28,0.17
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.207822168,1.38,0.55,0.08
155.0,183.0,0.0,193.0,9.0,877.0,868.0,28.0,23.786922,1.25,0.57,0.09
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.30053176,0.36,0.29,0.24
491.0,26.0,123.0,210.0,3.93,882.0,699.0,3.0,25.6091085694586,0.43,0.33,0.31
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28.0,37.81086384,0.99,0.4,0.1
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,14.0,47.7117392,0.58,0.4,0.15
326.0,0.0,138.0,199.0,11.0,801.0,792.0,28.0,40.679084,0.61,0.43,0.2
167.0,75.4,167.0,164.03,7.91,1007.3,770.1,100.0,56.8128224,0.98,0.4,0.09
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7.0,34.90127512,0.41,0.33,0.22
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.80073164,0.51,0.3,0.16
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28.0,33.082437432,0.47,0.47,0.22
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7.0,18.12632404,0.55,0.55,0.19
284.0,119.7,0.0,168.3,7.2,970.4,794.2,28.0,40.934879596,0.59,0.42,0.16
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28.0,15.569747032,1.1,0.5,0.09
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,28.0,51.3314882,0.58,0.4,0.15
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7.0,21.917063088,0.81,0.33,0.14
359.0,19.0,141.0,154.0,10.91,942.0,801.0,7.0,35.7542554305414,0.43,0.3,0.21
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.823194456,0.6,0.48,0.25
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28.0,27.923778,0.62,0.62,0.17
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28.0,22.347985588,1.66,0.66,0.06
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7.0,14.2032056,0.67,0.67,0.15
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28.0,26.922658848,1.16,0.53,0.08
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3.0,40.1964508,0.29,0.24,0.28
255.3,98.8,77.0,188.6,6.5,919.0,749.3,28.0,33.798802996,0.74,0.44,0.15
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243672,0.97,0.58,0.11
203.5,305.3,0.0,203.5,0.0,963.4,630.0,90.0,51.863763672,1.0,0.4,0.13
194.68,0.0,100.52,165.62,7.48,1006.4,905.9,100.0,37.34202016,0.85,0.56,0.1
275.07,0.0,121.35,159.48,9.9,1053.6,777.5,3.0,23.80071152,0.58,0.4,0.15
212.07,0.0,121.62,180.31,5.69,1057.6,779.32,100.0,39.6103962,0.85,0.54,0.12
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,14.0,21.50475644,0.94,0.49,0.1
280.0,129.0,100.0,172.0,9.0,825.0,805.0,28.0,52.82075636,0.61,0.34,0.17
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,100.0,40.38950408,0.85,0.51,0.1
238.05,0.0,94.11,186.66,7.0,949.91,847.01,56.0,39.58971192,0.78,0.56,0.13
359.0,19.0,141.0,154.0,10.91,942.0,801.0,28.0,62.93536928,0.43,0.3,0.21
250.0,0.0,95.69,191.84,5.33,948.9,857.2,100.0,41.1617172,0.77,0.55,0.14
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7.0,46.80163088,0.36,0.28,0.24
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,100.0,37.9556538,0.99,0.53,0.09
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28.0,39.455953576,1.05,0.41,0.09
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7.0,42.42345828,0.36,0.36,0.3
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3.0,9.694722036,1.22,0.49,0.09
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28.0,65.909079268,0.52,0.35,0.23
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,56.0,43.49904084,0.94,0.49,0.1
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56.0,63.3973182,0.45,0.3,0.22
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14.0,22.53207568,0.58,0.58,0.2
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,11.46598588,0.49,0.49,0.2
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90.0,39.6621069,1.44,0.58,0.08
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,28.0,26.200088,0.99,0.53,0.09
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3.0,28.096147,0.41,0.33,0.22
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7.0,34.569637164,0.4,0.4,0.29
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,3.0,10.0318758,0.85,0.56,0.13
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28.0,26.96540636,1.46,0.46,0.08
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100.0,37.6798634,0.91,0.44,0.09
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90.0,47.22221124,0.4,0.4,0.29
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.251958604,0.96,0.48,0.16
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.260122448,0.75,0.6,0.19
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28.0,74.4978818,0.37,0.25,0.23
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.58931216,1.38,0.55,0.08
305.0,0.0,100.0,196.0,10.0,959.0,705.0,28.0,30.12320644,0.64,0.48,0.18
231.75,0.0,121.62,173.96,6.72,1056.4,778.45,100.0,45.83636448,0.75,0.49,0.13
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28.0,33.79811352,0.74,0.44,0.15
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7.0,25.447869684,0.47,0.47,0.22
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28.0,39.39665864,1.14,0.44,0.09
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992,0.69,0.48,0.22
277.05,0.0,97.39,160.6,11.83,973.9,875.61,56.0,51.03501352,0.58,0.43,0.15
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100.0,48.15300384,0.94,0.47,0.09
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28.0,33.947729812,1.22,0.49,0.1
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28.0,22.93197176,1.16,0.46,0.12
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270.0,74.16693332,0.32,0.32,0.31
424.0,22.0,132.0,178.0,8.48,822.0,750.0,28.0,62.05284,0.42,0.31,0.27
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180.0,50.94882902,0.75,0.6,0.19
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.655112244,1.2,0.6,0.12
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28.0,41.20308576,1.05,0.41,0.1
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,56.0,51.4349096,0.72,0.4,0.12
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.20100736,0.36,0.29,0.24
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91.0,70.69886904,0.29,0.24,0.28
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28.0,26.91369566,0.78,0.47,0.13
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,56.0,60.32225524,0.58,0.39,0.13
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,28.0,32.051670812,0.73,0.44,0.15
359.0,19.0,141.0,154.0,10.91,942.0,801.0,56.0,68.750606854188,0.43,0.3,0.21
229.68,0.0,118.16,195.23,6.13,1028.1,757.63,100.0,40.85834776,0.85,0.56,0.13
238.05,0.0,94.11,186.66,7.0,949.91,847.01,3.0,19.93275116,0.78,0.56,0.13
213.5,0.0,174.24,159.21,11.66,1043.6,771.9,28.0,44.63667624,0.75,0.41,0.12
165.0,128.5,132.1,175.06,8.08,1005.8,746.6,14.0,33.08795324,1.06,0.41,0.09
424.0,22.0,132.0,168.0,8.92,822.0,750.0,7.0,40.2850977152707,0.4,0.29,0.27
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,14.0,20.08443588,0.85,0.56,0.13
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360.0,44.698039604,1.38,0.55,0.08
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3.0,7.39807748,0.94,0.47,0.09
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7.0,30.275580636,0.69,0.48,0.22
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28.0,31.84000168,0.55,0.55,0.19
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026,0.53,0.48,0.28
246.83,0.0,125.08,143.3,11.99,1086.8,800.89,28.0,52.5035974,0.58,0.39,0.13
284.0,15.0,141.0,179.0,5.46,842.0,801.0,56.0,44.5204502847293,0.63,0.41,0.17
194.68,0.0,100.52,170.17,7.48,998.0,901.8,14.0,24.28334472,0.87,0.58,0.1
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7.0,15.691094808,0.78,0.47,0.13
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28.0,44.51946532,0.41,0.28,0.17
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7.0,10.089791784,1.66,0.66,0.06
222.36,0.0,96.67,189.29,4.46,967.08,870.32,3.0,11.57630204,0.85,0.59,0.12
249.1,0.0,98.75,158.11,12.8,987.76,889.01,3.0,15.36152528,0.63,0.45,0.13
190.34,0.0,125.18,161.85,9.88,1088.1,802.59,14.0,22.7182342,0.85,0.51,0.1
165.0,0.02,143.57,163.81,0.0,1005.6,900.9,56.0,36.56291228,0.99,0.53,0.09
290.35,0.0,96.18,168.08,9.41,961.18,865.0,3.0,22.50449664,0.58,0.43,0.16
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28.0,33.39821744,0.77,0.46,0.15
322.0,0.0,116.0,196.0,10.0,818.0,813.0,28.0,31.17810472,0.61,0.45,0.2
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28.0,45.70536404,0.85,0.54,0.12
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28.0,42.140083644,0.62,0.43,0.17
213.74,0.0,174.74,154.79,10.16,1053.5,776.35,28.0,40.14818748,0.72,0.4,0.12
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256,0.69,0.48,0.22
387.0,20.0,94.0,157.0,14.32,938.0,845.0,56.0,56.33708396,0.41,0.31,0.22
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7.0,9.01145132,0.55,0.55,0.19
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28.0,19.69143456,0.73,0.73,0.13
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28.0,44.38846488,0.57,0.39,0.19
251.81,0.0,99.94,146.14,12.35,1006.0,899.76,100.0,45.3675208,0.58,0.42,0.13
202.0,11.0,141.0,206.0,1.72,942.0,801.0,3.0,9.84965714581204,1.02,0.58,0.12
142.0,167.0,130.0,174.0,11.0,883.0,785.0,28.0,44.6090972,1.23,0.4,0.09
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28.0,46.24315532,0.67,0.46,0.17
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28.0,67.30664712,0.32,0.32,0.31
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3.0,14.94094492,1.05,0.41,0.1
251.37,0.0,118.27,188.45,5.75,1028.4,757.73,14.0,29.93015316,0.75,0.51,0.14
298.1,0.0,107.0,186.4,6.1,879.0,815.2,28.0,42.6440906,0.63,0.46,0.18
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28.0,12.24509376,0.9,0.9,0.1
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28.0,34.29453624,0.53,0.53,0.19
300.0,0.0,120.0,212.0,10.0,878.0,728.0,28.0,23.83518532,0.71,0.5,0.19
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28.0,19.765208492,0.74,0.74,0.13
297.16,0.0,117.54,174.8,9.52,1022.8,753.45,56.0,51.95891136,0.59,0.42,0.17
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28.0,40.0585556,0.66,0.47,0.2
295.71,0.0,95.64,171.54,8.87,955.14,859.2,56.0,48.71837416,0.58,0.44,0.16
277.05,0.0,97.39,160.6,11.83,973.9,875.61,100.0,55.6407132,0.58,0.43,0.15
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7.0,12.05204048,0.78,0.78,0.12
213.76,98.06,24.52,181.74,6.65,1066.0,785.52,56.0,47.13257936,0.85,0.54,0.12
249.1,0.0,98.75,158.11,12.8,987.76,889.01,100.0,51.0556978,0.63,0.45,0.13
277.05,0.0,97.39,160.6,11.83,973.9,875.61,28.0,48.28400428,0.58,0.43,0.15
134.7,0.0,165.7,180.2,10.0,961.0,804.9,28.0,13.293786756,1.34,0.6,0.08
213.5,0.0,174.24,154.61,11.66,1052.3,775.48,14.0,33.70158688,0.72,0.4,0.12
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3.0,6.46728488,0.82,0.82,0.13
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.638264956,0.97,0.58,0.11
229.97,0.0,118.31,195.47,4.63,1029.4,758.59,100.0,35.34253976,0.85,0.56,0.13
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28.0,56.69561148,0.34,0.27,0.2
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7.0,17.236210524,0.73,0.44,0.15
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656,0.6,0.6,0.24
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.39821744,0.36,0.29,0.24
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28.0,36.349864196,1.1,0.36,0.09
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.542997428,0.53,0.48,0.28
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90.0,35.17017076,0.58,0.58,0.19
355.0,19.0,97.0,145.0,13.13,967.0,871.0,28.0,44.02993736,0.41,0.31,0.19
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7.0,30.9574724,0.63,0.63,0.17
251.37,0.0,118.27,188.45,6.35,1028.4,757.73,14.0,24.42813468,0.75,0.51,0.14
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0,39.37597436,0.44,0.4,0.26
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3.0,15.81657944,0.99,0.4,0.1
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3.0,23.07676172,0.95,0.41,0.1
181.38,0.0,167.01,169.59,7.56,1055.6,777.8,28.0,27.77209328,0.93,0.49,0.1
252.31,0.0,98.75,146.25,14.17,987.76,889.01,100.0,60.9496784,0.58,0.42,0.13
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28.0,25.17966352,0.63,0.63,0.16
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14.0,33.00521612,0.95,0.41,0.1
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28.0,17.54026944,0.78,0.78,0.12
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,14.0,25.3727168,0.75,0.51,0.11
387.0,20.0,94.0,157.0,11.61,938.0,845.0,3.0,34.77027468,0.41,0.31,0.22
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7.0,10.3938507,1.44,0.58,0.08
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28.0,55.50971276,0.64,0.35,0.12
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3.0,27.42046052,0.64,0.35,0.12
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28.0,31.420110796,0.75,0.55,0.19
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,54.378282644,0.75,0.6,0.19
250.0,0.0,95.69,191.84,5.33,948.9,857.2,14.0,24.65566176,0.77,0.55,0.14
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3.0,24.0971862,0.52,0.33,0.2
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28.0,24.046164976,1.11,0.66,0.1
212.0,0.0,124.78,159.0,7.84,1085.4,799.54,14.0,31.35047372,0.75,0.47,0.11
281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28.0,22.43554904,0.66,0.66,0.15
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28.0,52.446370892,0.57,0.38,0.19
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28.0,52.30364936,0.43,0.43,0.22
249.1,0.0,98.75,158.11,12.8,987.76,889.01,28.0,30.84715624,0.63,0.45,0.13
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.29663476,0.45,0.3,0.21
284.0,15.0,141.0,179.0,5.46,842.0,801.0,28.0,43.73346268,0.63,0.41,0.17
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28.0,31.11605188,0.94,0.47,0.09
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7.0,37.99702236,0.51,0.3,0.16
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28.0,15.52010476,1.22,0.55,0.09
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28.0,26.14492992,1.24,0.46,0.08
491.0,26.0,123.0,201.0,3.93,822.0,699.0,56.0,61.855846854188,0.41,0.31,0.32
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28.0,26.22766704,1.16,0.43,0.09
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14.0,48.4012152,0.36,0.36,0.3
290.2,193.5,0.0,185.7,0.0,998.2,704.3,28.0,33.0431373,0.64,0.38,0.17
212.57,0.0,100.39,159.35,10.37,1003.8,903.79,28.0,37.404073,0.75,0.51,0.11
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3.0,2.331807832,1.88,0.75,0.06
359.0,19.0,141.0,154.0,10.91,942.0,801.0,3.0,25.1166257152707,0.43,0.3,0.21
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.0,15.615941924,0.58,0.58,0.19
147.0,115.0,89.0,202.0,9.0,860.0,829.0,28.0,19.98790924,1.37,0.58,0.09
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.29871316,0.45,0.3,0.21
146.0,173.0,0.0,182.0,3.0,986.0,817.0,28.0,23.73865868,1.25,0.57,0.08
355.9,0.0,141.6,193.3,11.0,801.4,778.4,28.0,40.8686899,0.54,0.39,0.23
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28.0,61.23236356,0.53,0.35,0.19
252.31,0.0,98.75,146.25,14.17,987.76,889.01,56.0,55.82687172,0.58,0.42,0.13
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28.0,26.84819544,0.61,0.61,0.16
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,31.25394708,0.69,0.69,0.15
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124,0.48,0.48,0.31
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.69990824,0.36,0.28,0.24
238.05,0.0,94.11,186.66,7.0,949.91,847.01,100.0,44.298833,0.78,0.56,0.13
