Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
231.75,0,121.62,173.96,6.72,1056.4,778.45,100,45.83636448
255,99,77,189,6,919,749,28,33.79811352
397,0,0,185.7,0,1040.6,734.3,7,25.447869684
160,128,122,182,6.4,824,879,28,39.39665864
332.5,142.5,0,228,0,932,594,365,41.052779992
277.05,0,97.39,160.6,11.83,973.9,875.61,56,51.03501352
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,100,48.15300384
,,,163.560292831826,8.72782890233131,989.080678342092,757.907532777562,80.7844348737761,55.7089993543697
166.8,250.2,0,203.5,0,975.6,692.6,28,33.947729812
184,86,190,213,6,923,623,28,22.93197176
540,0,0,173,0,1125,613,270,74.16693332
424,22,132,178,8.48,822,750,28,62.05284
304,76,0,228,0,932,670,180,50.94882902
190,190,0,228,0,932,670,270,50.655112244
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28,41.20308576
213.5,0,174.24,154.61,11.66,1052.3,775.48,56,51.4349096
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
469,117.2,0,137.8,32.2,852.1,840.5,91,70.69886904
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91369566
246.83,0,125.08,143.3,11.99,1086.8,800.89,56,60.32225524
381.74757085401,,,,0,941.480889638902,760.810192149413,90,48.4710218573244
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.051670812
359,19,141,154,10.91,942,801,56,68.750606854188
229.68,0,118.16,195.23,6.13,1028.1,757.63,100,40.85834776
238.05,0,94.11,186.66,7,949.91,847.01,3,19.93275116
213.5,0,174.24,159.21,11.66,1043.6,771.9,28,44.63667624
165,128.5,132.1,175.06,8.08,1005.8,746.6,14,33.08795324
424,22,132,168,8.92,822,750,7,40.2850977152707
229.97,0,118.31,195.47,4.63,1029.4,758.59,14,20.08443588
139.6,209.4,0,192,0,1047,806.9,360,44.698039604
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.39807748
332.5,142.5,0,228,0,932,594,7,30.275580636
339,0,0,185,0,1069,754,28,31.84000168
427.5,47.5,0,228,0,932,594,270,43.01296026
246.83,0,125.08,143.3,11.99,1086.8,800.89,28,52.5035974
284,15,141,179,5.46,842,801,56,44.5204502847293
194.68,0,100.52,170.17,7.48,998,901.8,14,24.28334472
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.691094808
313,145,0,127,8,1000,822,28,44.51946532
116,173,0,192,0,909.8,891.9,7,10.089791784
222.36,0,96.67,189.29,4.46,967.08,870.32,3,11.57630204
249.1,0,98.75,158.11,12.8,987.76,889.01,3,15.36152528
190.34,0,125.18,161.85,9.88,1088.1,802.59,14,22.7182342
165,0.02,143.57,163.81,0,1005.6,900.9,56,36.56291228
290.35,0,96.18,168.08,9.41,961.18,865,3,22.50449664
302.549714399496,179.975685747925,,193.547029070824,6.31302727507712,916.511270336653,747.662061733143,34.8683186016918,45.2434438617178
,,,,10.9998651360908,980.472995565,723.596160361916,23.4223080269904,42.546767935745
252,97,76,194,8,835,821,28,33.39821744
322,0,116,196,10,818,813,28,31.17810472
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,45.70536404
288.4,121,0,177.4,7,907.9,829.5,28,42.140083644
213.74,0,174.74,154.79,10.16,1053.5,776.35,28,40.14818748
332.5,142.5,0,228,0,932,594,270,40.269535256
387,20,94,157,14.32,938,845,56,56.33708396
349,0,0,192,0,1056,809,7,9.01145132
252,0,0,185,0,1111,784,28,19.69143456
313,145,0,178,8,867,824,28,44.38846488
,,,,6.27657700375526,992.014216458003,748.227889703617,4.83566310215336,30.1449308095953
251.81,0,99.94,146.14,12.35,1006,899.76,100,45.3675208
202,11,141,206,1.72,942,801,3,9.84965714581204
142,167,130,174,11,883,785,28,44.6090972
289,134,0,195,6,924,760,28,46.24315532
540,0,0,173,0,1125,613,28,67.30664712
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3,14.94094492
251.37,0,118.27,188.45,5.75,1028.4,757.73,14,29.93015316
298.1,0,107,186.4,6.1,879,815.2,28,42.6440906
200,0,0,180,0,1125,845,28,12.24509376
350,0,0,186,0,1050,770,28,34.29453624
300,0,120,212,10,878,728,28,23.83518532
252.5,0,0,185.7,0,1111.6,784.3,28,19.765208492
297.16,0,117.54,174.8,9.52,1022.8,753.45,56,51.95891136
318,0,126,210,6,861,737,28,40.0585556
295.71,0,95.64,171.54,8.87,955.14,859.2,56,48.71837416
277.05,0,97.39,160.6,11.83,973.9,875.61,100,55.6407132
238,0,0,186,0,1119,789,7,12.05204048
213.76,98.06,24.52,181.74,6.65,1066,785.52,56,47.13257936
249.1,0,98.75,158.11,12.8,987.76,889.01,100,51.0556978
277.05,0,97.39,160.6,11.83,973.9,875.61,28,48.28400428
134.7,0,165.7,180.2,10,961,804.9,28,13.293786756
213.5,0,174.24,154.61,11.66,1052.3,775.48,14,33.70158688
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
236,0,0,194,0,968,885,3,6.46728488
198.6,132.4,0,192,0,978.4,825.5,7,14.638264956
229.97,0,118.31,195.47,4.63,1029.4,758.59,100,35.34253976
375,93.8,0,126.6,23.4,852.1,992.6,28,56.69561148
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.236210524
380,0,0,228,0,932,670,270,53.300631656
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.349864196
427.5,47.5,0,228,0,932,594,90,41.542997428
339,0,0,197,0,968,781,90,35.17017076
355,19,97,145,13.13,967,871,28,44.02993736
297,0,0,186,0,1040,734,7,30.9574724
251.37,0,118.27,188.45,6.35,1028.4,757.73,14,24.42813468
,,141.951013269152,,14.5706662621925,1058.14762993801,707.406193373273,28,26.1498138888034
450.1,50,0,200,3,1124.4,613.2,28,39.37597436
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3,15.81657944
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3,23.07676172
181.38,0,167.01,169.59,7.56,1055.6,777.8,28,27.77209328
252.31,0,98.75,146.25,14.17,987.76,889.01,100,60.9496784
296,0,0,186,0,1090,769,28,25.17966352
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14,33.00521612
238,0,0,186,0,1119,789,28,17.54026944
212.57,0,100.39,159.35,10.37,1003.8,903.79,14,25.3727168
387,20,94,157,11.61,938,845,3,34.77027468
141.3,212,0,203.5,0,971.8,748.5,7,10.3938507
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28,55.50971276
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,3,27.42046052
296,0,106.7,221.4,10.5,819.2,778.4,28,31.420110796
304,76,0,228,0,932,670,270,54.378282644
250,0,95.69,191.84,5.33,948.9,857.2,14,24.65566176
337.9,189,0,174.9,9.5,944.7,755.8,3,24.0971862
183.9,122.6,0,203.5,0,959.2,800,28,24.046164976
212,0,124.78,159,7.84,1085.4,799.54,14,31.35047372
281,0,0,185,0,1104,774,28,22.43554904
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.446370892
405,0,0,175,0,1120,695,28,52.30364936
249.1,0,98.75,158.11,12.8,987.76,889.01,28,30.84715624
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
284,15,141,179,5.46,842,801,28,43.73346268
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.11605188
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,37.99702236
148,0,182,181,15,839,884,28,15.52010476
144,136,106,178,7,941,774,28,26.14492992
491,26,123,201,3.93,822,699,56,61.855846854188
153,145,113,178,8,867,824,28,26.22766704
525,0,0,189,0,1125,613,14,48.4012152
290.2,193.5,0,185.7,0,998.2,704.3,28,33.0431373
212.57,0,100.39,159.35,10.37,1003.8,903.79,28,37.404073
108.3,162.4,0,203.5,0,938.2,849,3,2.331807832
359,19,141,154,10.91,942,801,3,25.1166257152707
333,0,0,192,0,931.2,842.6,3,15.615941924
147,115,89,202,9,860,829,28,19.98790924
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
146,173,0,182,3,986,817,28,23.73865868
355.9,0,141.6,193.3,11,801.4,778.4,28,40.8686899
326,166,0,174,9,882,790,28,61.23236356
252.31,0,98.75,146.25,14.17,987.76,889.01,56,55.82687172
300,0,0,184,0,1075,795,28,26.84819544
277,0,0,191,0,968,856,90,31.25394708
475,0,0,228,0,932,594,7,38.60376124
425,106.3,0,151.4,18.6,936,803.7,91,66.69990824
238.05,0,94.11,186.66,7,949.91,847.01,100,44.298833
446,24,79,162,11.61,967,712,7,52.00717468
213.74,0,174.74,154.79,10.16,1053.5,776.35,3,17.57474324
522,0,0,146,0,896,896,28,74.98740976
331,0,0,192,0,1025,821,28,31.74347504
220.8,147.2,0,185.7,0,1055,744.3,7,13.089012384
475,0,59,142,1.9,1098,641,28,57.226508
158.4,0,194.9,219.7,11,897.7,712.9,28,8.536402356
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.765208492
342,38,0,228,0,932,670,270,55.064311264
312.7,0,0,178.1,8,999.7,822.2,28,25.10382116
151.6,0,111.9,184.4,7.9,992,815.9,28,12.180972492
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,56,53.95839176
212.52,0,100.37,159.32,8.71,1007.8,903.59,3,13.54130864
350,0,0,203,0,974,775,180,32.72253096
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56,61.99078716
166.09,0,163.27,176.46,4.49,1058.6,780.09,28,21.53923024
213.76,98.06,24.52,181.74,6.65,1066,785.52,14,17.83674412
500,0,0,151,9,1033,655,28,69.83702404
298,0,107,164,13,953,784,28,35.85964676
277.05,0,97.39,160.6,11.83,973.9,875.61,14,41.885667
350,0,0,203,0,974,775,7,18.12632404
349,0,0,192,0,1047,806,90,39.48629052
322.2,0,115.6,196,10.4,817.9,813.4,28,31.178794196
250,0,95.69,187.42,5.53,956.86,861.17,3,13.81709904
149,236,0,176,13,847,893,28,32.9569528
251.37,0,118.27,192.94,5.75,1043.6,754.3,56,39.2656582
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.79941252
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.79577532
475,0,0,228,0,932,594,270,42.131120456
480,0,0,192,0,936,721,28,43.89204216
212.57,0,100.39,159.35,10.37,1003.8,903.79,3,13.33446584
212.07,0,121.62,180.31,5.69,1057.6,779.32,3,12.47262084
190.34,0,125.18,166.61,9.88,1079,798.9,14,19.41564416
310,0,0,192,0,970,850,180,37.32823064
331,0,0,192,0,978,825,3,13.52062436
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.29609504
277,0,0,191,0,968,856,180,32.32952964
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.09966436
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.287661424
446,24,79,162,11.64,967,712,56,56.14403068
271.310849320708,,,,1.35091436275041,981.268995125974,760.658081509929,41.3042497148108,29.8672877922274
316.1,210.7,0,185.7,0,977,689.3,7,24.437787344
,,,,2.19270968978032,920.159367675186,623.382309843056,11.6046903485387,32.6115295448219
252,0,0,185,0,1111,784,28,19.69143456
310,143,111,168,22,914,651,28,33.68779736
266,114,0,228,0,932,670,90,47.029847436
295.71,0,95.64,171.54,8.87,955.14,859.2,14,35.2322236
322,0,0,203,0,974,800,180,29.58541516
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.39821744
375,93.8,0,126.6,23.4,852.1,992.6,7,45.69846928
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,3,30.44726016
254,0,0,198,0,968,863,365,29.7853632
251.81,0,99.94,146.14,12.35,1006,899.76,3,21.02212324
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.073134492
339,0,0,197,0,968,781,28,32.03994972
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.503987012
251.37,0,118.27,188.45,6.35,1028.4,757.73,28,32.66047812
339,0,0,197,0,968,781,7,20.96696516
212,0,124.78,159,7.84,1085.4,799.54,28,38.50033984
393,0,0,192,0,940.6,785.6,28,39.604880392
164,163,128,197,8,961,641,28,27.234302
173,116,0,192,0,946.8,856.8,7,11.392211948
491,26,123,201,3.93,822,699,3,29.5489714305414
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.859916532
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38150014
425,106.3,0,153.5,16.5,852.1,887.1,28,60.2946762
149,153,194,192,8,935,623,28,24.5798194
250,0,95.69,187.42,5.53,956.86,861.17,14,24.91766264
339,0,0,197,0,968,781,365,38.89334116
181.38,0,167.01,169.59,7.56,1055.6,777.8,14,21.60128308
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28,33.68779736
475,0,0,228,0,932,594,28,39.28978986
167,75.4,167,164.03,7.91,1007.3,770.1,14,32.90179472
194.68,0,100.52,165.62,7.48,1006.4,905.9,28,25.72434956
236,157,0,192,0,972.6,749.1,28,32.88455782
218.85,0,124.13,158.49,11.33,1078.7,794.91,14,26.04840328
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2003478
210.7,316.1,0,185.7,0,977,689.3,28,37.813621744
313.3,0,113,178.5,8,1001.9,688.7,28,36.804918356
305.3,203.5,0,203.5,0,965.4,631,90,54.598914964
229.68,0,118.16,195.23,6.13,1028.1,757.63,3,13.35515012
366,187,0,191,7,824,757,28,65.90701084
229.97,0,118.31,195.47,4.63,1029.4,758.59,28,24.48329276
525,0,0,189,0,1125,613,270,67.11359384
446,24,79,162,11.61,967,712,3,35.36322404
255,0,0,192,0,889.8,945,3,8.204074924
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,32.8535314
298.1,0,107.5,163.6,12.8,953.2,784,28,35.865852044
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.596806472
167,75.4,167,164.03,7.91,1007.3,770.1,56,53.46196904
314,145,113,179,8,869,690,28,46.2293658
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
199.169183392177,298.79787479316,,203.5,0,964.83967200587,637.387169472744,28,40.7713743424663
424,22,132,168,8.92,822,750,56,74.3649114581204
446,24,79,162,11.64,967,712,7,38.01770664
302.790811768019,,92.1727684309061,196.678820732533,7.21875198733709,830.512657289185,843.068548326953,48.5590163689908,33.0692698507599
298,0,107,210,11,880,744,28,31.87447548
491,26,123,210,3.93,882,699,28,55.55108132
387,20,94,157,13.93,938,845,28,46.68441996
380,95,0,228,0,932,594,28,36.447769788
157,214,152,200,9,819,704,28,33.05347944
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,66.82401392
254,0,0,198,0,968,863,90,26.94472208
166.09,0,163.27,176.46,4.49,1058.6,780.09,100,33.5430074
246.83,0,125.08,143.3,11.99,1086.8,800.89,3,23.52492112
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35014394
202,11,141,206,1.72,942,801,56,23.245190854188
153,145,0,178,8,1000,822,28,19.00885332
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100,50.93848688
122.6,183.9,0,203.5,0,958.2,800.1,90,33.192064116
321,0,128,182,11,870,780,28,37.25928304
166.8,250.2,0,203.5,0,975.6,692.6,3,6.902344236
192,288,0,192,0,929.8,716.1,90,50.732333556
,,,,4.81949280172096,1021.35209506299,702.95859266356,42.5700708402064,27.4550440823115
331,0,0,192,0,978,825,7,16.26473884
289,0,0,192,0,913.2,895.3,3,11.654902304
322.5,148.6,0,185.8,8.5,951,709.5,28,52.426376088
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.768036376
153,102,0,192,0,888,943.1,3,4.782205536
252,0,0,186,0,1111,784,7,11.46598588
302,0,0,203,0,974,817,14,18.12632404
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.59648684
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,100,39.2311844
252.5,0,0,185.7,0,1111.6,784.3,7,11.483912256
152,178,139,168,18,944,695,28,36.34917472
229.97,0,118.31,195.47,4.63,1029.4,758.59,56,31.53663224
313,0,113,178,8,1002,689,28,36.80422888
531.3,0,0,141.8,28.2,852.1,893.7,3,41.2996124
531.3,0,0,141.8,28.2,852.1,893.7,56,58.79851328
290.35,0,96.18,168.08,9.41,961.18,865,56,45.08483564
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56,48.58737372
213.5,0,174.24,159.21,11.66,1043.6,771.9,14,29.59230992
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.726417988
359,19,141,154,10.91,942,801,56,66.7806754305414
380,0,0,228,0,932,670,180,53.104130996
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56,35.852752
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.69964844
225,0,0,181,0,1113,833,7,11.1695112
446,24,79,162,11.61,967,712,56,61.06688932
238.1,0,0,185.7,0,1118.8,789.3,28,17.576122192
295.71,0,95.64,171.54,8.87,955.14,859.2,28,39.94134468
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3,20.72564856
255,0,0,192,0,889.8,945,28,18.746162964
108.3,162.4,0,203.5,0,938.2,849,7,7.723510152
333,0,0,192,0,931.2,842.6,90,41.680203152
159,209,161,201,7,848,669,28,30.88163004
164,0,200,181,13,849,846,28,15.08573488
540,0,0,162,2.5,1040,676,28,79.98611076
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,14,31.81242264
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,14,35.9561734
505,0,60,195,0,1030,630,28,64.0178466
251.81,0,99.94,146.14,12.35,1006,899.76,28,33.94290348
382,0,0,185,0,1047,739,28,37.42475728
236,0,0,193,0,968,885,7,9.99050724
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.617500724
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.461039708
,0,,,0,990.674465141195,767.855415614078,34.6965692175783,28.3992570362686
307,0,0,193,0,968,812,365,36.14922668
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
